latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.353,-123.368,309,1.8,1.3,2020-10-02,0950,A,76,6.0NRT,290.4,22.3,N
40.306,-123.107,314.4,1.7,1.3,2020-10-02,0950,A,64,6.0NRT,291.8,27.9,N
40.304,-123.086,308.9,1.7,1.3,2020-10-02,0950,A,20,6.0NRT,291.4,18.4,N
40.285,-123.131,312.6,1.7,1.3,2020-10-02,0950,A,37,6.0NRT,291.7,24.7,N
40.283,-123.112,309.7,1.7,1.3,2020-10-02,0950,A,14,6.0NRT,291.1,19.5,N
40.26,-123.116,314,1.7,1.3,2020-10-02,0950,A,35,6.0NRT,290.1,26.6,N
40.253,-123.125,307.3,1.7,1.3,2020-10-02,0950,A,61,6.0NRT,287.9,18.5,N
40.251,-123.105,303.5,1.7,1.3,2020-10-02,0950,A,29,6.0NRT,287.9,12.9,N
40.236,-123.458,324.4,1.8,1.3,2020-10-02,0950,A,86,6.0NRT,295.8,47.4,N
40.234,-123.44,320.6,1.8,1.3,2020-10-02,0950,A,43,6.0NRT,294.8,36.9,N
40.223,-123.317,313.5,1.8,1.3,2020-10-02,0950,A,68,6.0NRT,292.5,27.1,N
40.224,-123.459,328.4,1.8,1.3,2020-10-02,0950,A,100,6.0NRT,293.9,59.5,N
40.222,-123.441,328.2,1.8,1.3,2020-10-02,0950,A,100,6.0NRT,294.5,58.5,N
40.215,-123.361,305.2,1.8,1.3,2020-10-02,0950,A,36,6.0NRT,292.2,13.7,N
40.213,-123.338,309,1.8,1.3,2020-10-02,0950,A,54,6.0NRT,293.4,19.9,N
40.211,-123.318,311.3,1.8,1.3,2020-10-02,0950,A,63,6.0NRT,290.5,23.7,N
40.072,-122.913,301.1,1.7,1.3,2020-10-02,0950,A,21,6.0NRT,290.8,9.5,N
40.07,-122.892,300,1.7,1.3,2020-10-02,0950,A,5,6.0NRT,290,8.3,N
51.207,-104.735,316.1,2,1.4,2020-10-02,1730,T,76,6.0NRT,288.8,36.8,D
50.001,-97.629,305,1,1,2020-10-02,1730,T,60,6.0NRT,288.4,7,D
48.288,-102.498,303.3,1.4,1.2,2020-10-02,1730,T,44,6.0NRT,283.7,11.1,D
41.947,-92.585,305.3,1.6,1.3,2020-10-02,1735,T,61,6.0NRT,284.3,15.4,D
41.03,-98.857,307.9,1,1,2020-10-02,1735,T,66,6.0NRT,271.1,9.8,D
41.207,-106.448,319.9,1.9,1.3,2020-10-02,1735,T,66,6.0NRT,293,32.4,D
41.205,-106.426,316.6,1.9,1.3,2020-10-02,1735,T,41,6.0NRT,294.1,24.5,D
41.036,-106.285,344.5,1.8,1.3,2020-10-02,1735,T,93,6.0NRT,289.4,100.6,D
41.025,-106.286,327.2,1.8,1.3,2020-10-02,1735,T,48,6.0NRT,288.3,35.3,D
41.013,-106.288,341.4,1.8,1.3,2020-10-02,1735,T,72,6.0NRT,293.9,84.8,D
41.011,-106.266,386.8,1.8,1.3,2020-10-02,1735,T,100,6.0NRT,297.5,417,D
41.009,-106.244,395.3,1.8,1.3,2020-10-02,1735,T,100,6.0NRT,291.8,526.3,D
40.999,-106.267,399.5,1.8,1.3,2020-10-02,1735,T,100,6.0NRT,296.4,581.4,D
40.997,-106.245,383.6,1.8,1.3,2020-10-02,1735,T,100,6.0NRT,285.4,391.3,D
40.977,-106.293,330.3,1.8,1.3,2020-10-02,1735,T,56,6.0NRT,290.9,51.9,D
40.942,-106.239,351.4,1.8,1.3,2020-10-02,1735,T,92,6.0NRT,284.9,146,D
40.934,-106.284,335.2,1.8,1.3,2020-10-02,1735,T,38,6.0NRT,287.7,68.4,D
40.932,-106.261,351.7,1.8,1.3,2020-10-02,1735,T,77,6.0NRT,293.3,140.7,D
40.93,-106.241,360.3,1.8,1.3,2020-10-02,1735,T,95,6.0NRT,295.2,195.5,D
40.928,-106.219,327.6,1.8,1.3,2020-10-02,1735,T,35,6.0NRT,286.3,54.6,D
40.924,-106.309,336.9,1.8,1.3,2020-10-02,1735,T,79,6.0NRT,290.7,81.9,D
40.922,-106.287,329.5,1.8,1.3,2020-10-02,1735,T,41,6.0NRT,291.6,56.3,D
40.746,-105.574,320,1.6,1.3,2020-10-02,1735,T,53,6.0NRT,297.3,24.8,D
40.738,-105.612,321.7,1.7,1.3,2020-10-02,1735,T,31,6.0NRT,295,22.5,D
40.747,-105.58,324.3,1.6,1.3,2020-10-02,1735,T,77,6.0NRT,298.3,31.7,D
55.39,-116.057,305.9,1,1,2020-10-02,1910,T,62,6.0NRT,289.3,8.2,D
52.65,-107.056,304.5,2.6,1.5,2020-10-02,1910,T,36,6.0NRT,290.5,17.3,D
52.641,-107.021,303.1,2.6,1.5,2020-10-02,1910,T,44,6.0NRT,290,15.7,D
54.621,-118.379,306.4,1,1,2020-10-02,1910,T,63,6.0NRT,288.8,8.1,D
51.229,-105.748,302.8,3.3,1.7,2020-10-02,1910,T,46,6.0NRT,287.3,26.1,D
51.233,-105.75,302.2,3.3,1.7,2020-10-02,1910,T,43,6.0NRT,287.6,24.3,D
54.151,-121.368,301.6,1.1,1,2020-10-02,1910,T,48,6.0NRT,285.8,6.4,D
52.056,-124.322,339.7,1.2,1.1,2020-10-02,1910,T,80,6.0NRT,293,56.5,D
51.975,-125.008,303.6,1.3,1.1,2020-10-02,1910,T,56,6.0NRT,290.7,6.5,D
51.973,-124.989,303.6,1.3,1.1,2020-10-02,1910,T,57,6.0NRT,289.9,6.5,D
51.459,-124.929,302,1.3,1.1,2020-10-02,1910,T,32,6.0NRT,291.6,8.7,D
47.57,-122.363,305.7,1,1,2020-10-02,1910,T,54,6.0NRT,294.1,3.9,D
44.862,-122.092,323.1,1,1,2020-10-02,1910,T,78,6.0NRT,297.1,17.9,D
44.658,-121.67,323.7,1,1,2020-10-02,1910,T,78,6.0NRT,307.8,14.3,D
41.918,-123.272,316,1,1,2020-10-02,1910,T,57,6.0NRT,299.4,8.8,D
41.235,-123.287,319.5,1,1,2020-10-02,1910,T,52,6.0NRT,292.9,14.3,D
41.228,-123.302,314.4,1,1,2020-10-02,1910,T,27,6.0NRT,292.5,9.7,D
41.226,-123.29,319.6,1,1,2020-10-02,1910,T,45,6.0NRT,294.9,13.9,D
41.225,-123.278,342.2,1,1,2020-10-02,1910,T,92,6.0NRT,296.2,43.2,D
41.223,-123.266,329,1,1,2020-10-02,1910,T,60,6.0NRT,295.1,23.4,D
41.192,-123.245,321.9,1,1,2020-10-02,1910,T,72,6.0NRT,296.3,16.6,D
41.181,-123.235,328.4,1,1,2020-10-02,1910,T,66,6.0NRT,297.1,22.9,D
41.172,-123.238,330.7,1,1,2020-10-02,1910,T,47,6.0NRT,296.8,24.5,D
41.156,-123.255,326.6,1,1,2020-10-02,1910,T,75,6.0NRT,296.6,20.4,D
41.154,-123.243,317.7,1,1,2020-10-02,1910,T,18,6.0NRT,296.5,11.4,D
41.143,-123.533,311.1,1,1,2020-10-02,1910,T,52,6.0NRT,298.1,7.6,D
41.1,-123.251,321.9,1,1,2020-10-02,1910,T,69,6.0NRT,297.2,15,D
41.095,-123.277,327.1,1,1,2020-10-02,1910,T,56,6.0NRT,297.2,18.2,D
41.093,-123.265,336.4,1,1,2020-10-02,1910,T,86,6.0NRT,298.7,31,D
41.077,-123.281,323.1,1,1,2020-10-02,1910,T,79,6.0NRT,296.6,17,D
41.075,-123.27,327.2,1,1,2020-10-02,1910,T,83,6.0NRT,296.9,21.1,D
41.052,-123.3,343.3,1,1,2020-10-02,1910,T,92,6.0NRT,297.4,45.1,D
